file,function,start_line,end_line
"hagiang_travel/app/Http/Controllers/Admin/AdminController.php","dashboard",14,30
"hagiang_travel/app/Http/Controllers/Admin/BookingAdminController.php","index",11,21
"hagiang_travel/app/Http/Controllers/Admin/BookingAdminController.php","show",23,27
"hagiang_travel/app/Http/Controllers/Admin/BookingAdminController.php","confirm",29,33
"hagiang_travel/app/Http/Controllers/Admin/BookingAdminController.php","cancel",35,39
"hagiang_travel/app/Http/Controllers/Admin/BookingAdminController.php","destroy",41,45
"hagiang_travel/app/Http/Controllers/Admin/DestinationAdminController.php","index",12,16
"hagiang_travel/app/Http/Controllers/Admin/DestinationAdminController.php","create",18,21
"hagiang_travel/app/Http/Controllers/Admin/DestinationAdminController.php","store",23,42
"hagiang_travel/app/Http/Controllers/Admin/DestinationAdminController.php","edit",44,47
"hagiang_travel/app/Http/Controllers/Admin/DestinationAdminController.php","update",49,71
"hagiang_travel/app/Http/Controllers/Admin/DestinationAdminController.php","destroy",73,80
"hagiang_travel/app/Http/Controllers/Admin/HouseholdAdminController.php","index",13,17
"hagiang_travel/app/Http/Controllers/Admin/HouseholdAdminController.php","create",19,23
"hagiang_travel/app/Http/Controllers/Admin/HouseholdAdminController.php","store",25,44
"hagiang_travel/app/Http/Controllers/Admin/HouseholdAdminController.php","edit",46,50
"hagiang_travel/app/Http/Controllers/Admin/HouseholdAdminController.php","update",52,74
"hagiang_travel/app/Http/Controllers/Admin/HouseholdAdminController.php","destroy",76,83
"hagiang_travel/app/Http/Controllers/Admin/ServiceAdminController.php","index",13,17
"hagiang_travel/app/Http/Controllers/Admin/ServiceAdminController.php","create",19,23
"hagiang_travel/app/Http/Controllers/Admin/ServiceAdminController.php","store",25,44
"hagiang_travel/app/Http/Controllers/Admin/ServiceAdminController.php","edit",46,50
"hagiang_travel/app/Http/Controllers/Admin/ServiceAdminController.php","update",52,74
"hagiang_travel/app/Http/Controllers/Admin/ServiceAdminController.php","destroy",76,83
"hagiang_travel/app/Http/Controllers/AuthController.php","showRegister",12,15
